lf/df,lf(mm),Vf(%),fc'(MPa),d(mm),c/d,l/d,"Ï„u,exp(MPa)",Predicted Values
0,0,0.0,29.6,8,3.75,3,24.7,19.765632553209873
64,35,0.75,27.9,8,3.75,3,17.6,24.312217145241494
0,0,0.0,29.6,12,2.5,3,24.2,16.02352388897874
64,35,0.75,27.9,12,2.5,3,21.1,18.56567954399478
0,0,0.0,29.6,20,1.5,3,14.6,11.99687211221418
64,35,0.75,27.9,20,1.5,3,14.7,12.734956665437492
0,0,0.0,27.9,16,1.34,5,5.76,11.183610975108675
60,30,0.5,28.4,16,1.34,5,5.78,9.761210717503767
60,30,1.0,30.5,16,1.34,5,5.67,11.513624737581118
60,30,2.0,30.1,16,1.34,5,7.02,11.983298412994158
0,0,0.0,27.9,16,2.1,5,7.05,10.830075385393434
60,30,0.5,28.4,16,2.1,5,7.32,10.871116695639945
60,30,1.0,30.5,16,2.1,5,9.29,12.349869627628255
60,30,2.0,30.1,16,2.1,5,9.91,12.981202581759277
0,0,0.0,27.5,20,0.88,5,4.3,9.10803014859631
60,30,0.5,32.1,20,0.88,5,4.93,8.764955440721181
60,30,1.0,25.3,20,0.88,5,5.12,10.487151444763612
60,30,2.0,28.7,20,0.88,5,5.52,11.808004984158668
0,0,0.0,27.5,20,1.5,5,5.58,9.10803014859631
60,30,0.5,32.1,20,1.5,5,6.48,8.764955440721181
60,30,1.0,25.3,20,1.5,5,6.93,10.487151444763612
60,30,2.0,28.7,20,1.5,5,7.37,11.808004984158668
0,0,0.0,32.9,25,2.0,5,6.72,8.358289118652701
60,30,0.5,32.0,25,2.0,5,6.19,8.088969550193278
60,30,1.0,28.1,25,2.0,5,7.02,9.975120086957732
60,30,2.0,31.2,25,2.0,5,8.44,11.368467388169698
0,0,0.0,32.9,25,1.0,5,4.05,9.222423438727024
60,30,0.5,32.0,25,1.0,5,4.36,8.764955440721181
60,30,1.0,28.1,25,1.0,5,4.71,10.688713202293691
60,30,2.0,31.2,25,1.0,5,5.29,12.043515500522487
0,0,0.0,29.5,32,1.34,5,4.47,9.072162028202179
60,30,0.5,26.9,32,1.34,5,5.23,8.488756583046248
60,30,1.0,28.8,32,1.34,5,5.54,10.689756725391108
60,30,2.0,28.5,32,1.34,5,5.83,11.808004984158668
0,0,0.0,29.5,32,0.56,5,2.84,9.072162028202179
60,30,0.5,26.9,32,0.56,5,3.13,8.488756583046248
60,30,1.0,28.8,32,0.56,5,3.88,10.689756725391108
60,30,2.0,28.5,32,0.56,5,4.04,11.808004984158668
